"通貨ペア","日付","始値","高値","安値","終値"
"15","2018/11/23",1.13256,1.13524,1.12929,1.13037
"15","2018/11/22",1.13181,1.13548,1.13153,1.13442
"15","2018/11/21",1.13067,1.13444,1.13015,1.13204
"15","2018/11/20",1.13720,1.13795,1.13033,1.13107
"15","2018/11/19",1.14013,1.14150,1.13683,1.13786
"15","2018/11/16",1.13949,1.14325,1.13940,1.14087
"15","2018/11/15",1.13744,1.14181,1.13422,1.14027
"15","2018/11/14",1.13647,1.14215,1.13567,1.13748
"15","2018/11/13",1.13372,1.13853,1.13330,1.13686
"15","2018/11/12",1.13796,1.13972,1.13321,1.13377
"15","2018/11/09",1.14274,1.14363,1.13808,1.13966
"15","2018/11/08",1.14485,1.14679,1.14267,1.14318
"15","2018/11/07",1.14514,1.14675,1.14354,1.14542
"15","2018/11/06",1.14502,1.14682,1.14432,1.14503
"15","2018/11/05",1.14215,1.14610,1.14146,1.14566
"15","2018/11/02",1.14299,1.14527,1.14032,1.14302
"15","2018/11/01",1.14029,1.14469,1.13976,1.14308
"15","2018/10/31",1.13980,1.14123,1.13773,1.141
"15","2018/10/30",1.13936,1.14167,1.13686,1.14032
"15","2018/10/29",1.13712,1.14068,1.13631,1.13946
"15","2018/10/26",1.13610,1.13838,1.13406,1.13623
"15","2018/10/25",1.13605,1.14141,1.13564,1.13674
"15","2018/10/24",1.14087,1.14164,1.13528,1.1365
"15","2018/10/23",1.14173,1.14277,1.13949,1.14088
"15","2018/10/22",1.14576,1.14988,1.14147,1.14171
"15","2018/10/19",1.13990,1.14896,1.13897,1.14695
"15","2018/10/18",1.14406,1.14642,1.13964,1.14026
"15","2018/10/17",1.14593,1.14807,1.14353,1.14423
"15","2018/10/16",1.14269,1.14764,1.14256,1.14635
"15","2018/10/15",1.14456,1.14619,1.14127,1.14261
"15","2018/10/12",1.14678,1.14900,1.14467,1.14603
"15","2018/10/11",1.14055,1.14868,1.13894,1.14679
"15","2018/10/10",1.13958,1.14418,1.13876,1.14016
"15","2018/10/09",1.14026,1.14133,1.13668,1.13956
"15","2018/10/08",1.14224,1.14311,1.13794,1.14016
"15","2018/10/05",1.14127,1.14477,1.14089,1.14319
"15","2018/10/04",1.13803,1.14334,1.13633,1.14164
"15","2018/10/03",1.13594,1.14192,1.13561,1.13868
"15","2018/10/02",1.13814,1.13932,1.13103,1.13598
"15","2018/10/01",1.13794,1.14262,1.13622,1.13876
"15","2018/09/28",1.13716,1.13966,1.12788,1.139
"15","2018/09/27",1.13335,1.14126,1.13097,1.13732
"15","2018/09/26",1.13493,1.13825,1.13299,1.13366
"15","2018/09/25",1.13283,1.13801,1.13229,1.13526
"15","2018/09/24",1.12566,1.13342,1.12488,1.13319
"15","2018/09/21",1.12907,1.13059,1.12195,1.12602
"15","2018/09/20",1.12903,1.13196,1.12709,1.12928
"15","2018/09/19",1.12489,1.13251,1.12464,1.12889
"15","2018/09/18",1.12408,1.12606,1.12205,1.12521
"15","2018/09/17",1.12488,1.12581,1.12284,1.12392
"15","2018/09/14",1.12844,1.13018,1.12397,1.12401
"15","2018/09/13",1.12845,1.13133,1.12596,1.12832
"15","2018/09/12",1.12792,1.13090,1.12666,1.12804
"15","2018/09/11",1.12995,1.13415,1.12613,1.1281
"15","2018/09/10",1.11919,1.13134,1.11829,1.13016
"15","2018/09/07",1.12155,1.12431,1.11810,1.11937
"15","2018/09/06",1.12947,1.13093,1.12172,1.12176
"15","2018/09/05",1.12793,1.13182,1.12512,1.13008
"15","2018/09/04",1.12557,1.12883,1.12398,1.12824
"15","2018/09/03",1.12406,1.12699,1.12380,1.12585
"15","2018/08/31",1.13057,1.13093,1.12370,1.12464
"15","2018/08/30",1.13605,1.13667,1.13011,1.13071
"15","2018/08/29",1.14107,1.14214,1.13418,1.13594
"15","2018/08/28",1.14377,1.14519,1.14145,1.14151
"15","2018/08/27",1.14247,1.14477,1.14090,1.14374
"15","2018/08/24",1.13710,1.14273,1.13679,1.1423
"15","2018/08/23",1.13960,1.14056,1.13627,1.13809
"15","2018/08/22",1.13966,1.14079,1.13726,1.13984
"15","2018/08/21",1.13802,1.14166,1.13569,1.13921
"15","2018/08/20",1.13803,1.13844,1.13516,1.13809
"15","2018/08/17",1.13352,1.13924,1.13272,1.13849
"15","2018/08/16",1.12739,1.13454,1.12614,1.13349
"15","2018/08/15",1.12741,1.13033,1.12413,1.12717
"15","2018/08/14",1.13288,1.13529,1.12637,1.12755
"15","2018/08/13",1.13062,1.13584,1.12846,1.13272
"15","2018/08/10",1.14459,1.14588,1.13377,1.1361
"15","2018/08/09",1.15245,1.15345,1.14486,1.14533
"15","2018/08/08",1.15426,1.15554,1.15251,1.15291
"15","2018/08/07",1.15070,1.15452,1.15065,1.15447
"15","2018/08/06",1.14999,1.15263,1.14949,1.15097
"15","2018/08/03",1.15320,1.15397,1.14952,1.14982
"15","2018/08/02",1.15610,1.15690,1.15280,1.15313
"15","2018/08/01",1.15734,1.16020,1.15613,1.1566
"15","2018/07/31",1.15659,1.15957,1.15586,1.15784
"15","2018/07/30",1.15889,1.16019,1.15650,1.15668
"15","2018/07/27",1.15697,1.16036,1.15649,1.15944
"15","2018/07/26",1.16265,1.16358,1.15720,1.1573
"15","2018/07/25",1.16039,1.16320,1.15927,1.16295
"15","2018/07/24",1.16048,1.16293,1.15933,1.1606
"15","2018/07/23",1.16281,1.16397,1.16006,1.16033
"15","2018/07/20",1.16342,1.16524,1.16200,1.16262
"15","2018/07/19",1.16219,1.16376,1.16114,1.16302
"15","2018/07/18",1.16575,1.16674,1.16003,1.16268
"15","2018/07/17",1.16701,1.16794,1.16378,1.16603
"15","2018/07/16",1.16956,1.17117,1.16679,1.16711
"15","2018/07/13",1.16943,1.17063,1.16555,1.17021
"15","2018/07/12",1.16214,1.17058,1.16165,1.16965
"15","2018/07/11",1.16495,1.16559,1.16168,1.16259
"15","2018/07/10",1.16454,1.16568,1.16296,1.165
"15","2018/07/09",1.16223,1.16544,1.16036,1.16491
"15","2018/07/06",1.16052,1.16374,1.15973,1.16301
"15","2018/07/05",1.15678,1.16173,1.15636,1.1614
"15","2018/07/04",1.15672,1.15824,1.15470,1.15692
"15","2018/07/03",1.15590,1.15834,1.15550,1.15692
"15","2018/07/02",1.15583,1.15678,1.15325,1.15607
"15","2018/06/29",1.15335,1.15983,1.15272,1.1569
"15","2018/06/28",1.15186,1.15628,1.15127,1.15386
"15","2018/06/27",1.15402,1.15529,1.15073,1.15183
"15","2018/06/26",1.15469,1.15625,1.15225,1.1538
"15","2018/06/25",1.15240,1.15552,1.14874,1.15489
"15","2018/06/22",1.15062,1.15488,1.14954,1.1512
"15","2018/06/21",1.15276,1.15388,1.14774,1.15064
"15","2018/06/20",1.15168,1.15501,1.15057,1.15307
"15","2018/06/19",1.15600,1.15690,1.14852,1.15215
"15","2018/06/18",1.15593,1.15698,1.15307,1.15656
"15","2018/06/15",1.15258,1.15840,1.15231,1.15701
